"Regio's";"Perioden";"aantal";"aantal inwoners per km²";"km²"
"Aa en Hunze";"2020";"25445";"92";"276,09"
"Aalburg";"2020";"";"";""
"Aalsmeer";"2020";"31859";"1584";"20,12"
"Aalten";"2020";"27121";"281";"96,54"
"Ter Aar";"2020";"";"";""
"Aarle-Rixtel";"2020";"";"";""
"Abcoude";"2020";"";"";""
"Achtkarspelen";"2020";"27843";"272";"102,23"
"Akersloot";"2020";"";"";""
"Alblasserdam";"2020";"20165";"2297";"8,78"
"Albrandswaard";"2020";"25590";"1180";"21,69"
"Alkemade";"2020";"";"";""
"Alkmaar";"2020";"109436";"991";"110,46"
"Almelo";"2020";"73107";"1087";"67,27"
"Almere";"2020";"211893";"1640";"129,19"
"Alphen aan den Rijn";"2020";"111897";"886";"126,23"
"Alphen en Riel";"2020";"";"";""
"Alphen-Chaam";"2020";"10203";"110";"93,04"
"Altena";"2020";"55967";"279";"200,63"
"Ambt Delden";"2020";"";"";""
"Ambt Montfort";"2020";"";"";""
"Ameland";"2020";"3716";"63";"59,11"
"Amerongen";"2020";"";"";""
"Amersfoort";"2020";"157276";"2512";"62,62"
"Ammerzoden";"2020";"";"";""
"Amstelveen";"2020";"91675";"2229";"41,13"
"Amsterdam";"2020";"872757";"5273";"165,50"
"Andijk";"2020";"";"";""
"Angerlo";"2020";"";"";""
"Anloo";"2020";"";"";""
"Anna Paulowna";"2020";"";"";""
"Apeldoorn";"2020";"163818";"482";"339,89"
"Appingedam";"2020";"11642";"490";"23,78"
"Arcen en Velden";"2020";"";"";""
"Arnemuiden";"2020";"";"";""
"Arnhem";"2020";"161348";"1649";"97,82"
"Assen";"2020";"68599";"838";"81,89"
"Asten";"2020";"16721";"238";"70,17"
"Avereest";"2020";"";"";""
"Axel";"2020";"";"";""
"Baarle-Nassau";"2020";"6859";"90";"76,14"
"Baarn";"2020";"24868";"764";"32,54"
"Bakel en Milheeze";"2020";"";"";""
"Barendrecht";"2020";"48714";"2467";"19,75"
"Barneveld";"2020";"59082";"336";"175,90"
"Bathmen";"2020";"";"";""
"Bedum";"2020";"";"";""
"Beek (L.)";"2020";"15865";"754";"21,03"
"Beek en Donk";"2020";"";"";""
"Beekdaelen";"2020";"35938";"459";"78,30"
"Beemster";"2020";"10022";"142";"70,58"
"Beesel";"2020";"13482";"482";"27,99"
"Beilen";"2020";"";"";""
"Belfeld";"2020";"";"";""
"Bellingwedde";"2020";"";"";""
"Bemmel";"2020";"";"";""
"Bennebroek";"2020";"";"";""
"Berg en Dal";"2020";"34992";"405";"86,31"
"Bergambacht";"2020";"";"";""
"Bergeijk";"2020";"18635";"184";"101,00"
"Bergen (L.)";"2020";"13085";"127";"103,24"
"Bergen (NH.)";"2020";"29839";"302";"98,96"
"Bergen op Zoom";"2020";"67496";"844";"79,96"
"Bergeyk";"2020";"";"";""
"Bergh";"2020";"";"";""
"Bergschenhoek";"2020";"";"";""
"Berkel en Rodenrijs";"2020";"";"";""
"Berkel-Enschot";"2020";"";"";""
"Berkelland";"2020";"43747";"170";"258,06"
"Berlicum";"2020";"";"";""
"Bernheze";"2020";"31240";"348";"89,73"
"Bernisse";"2020";"";"";""
"Best";"2020";"29988";"874";"34,30"
"Beuningen";"2020";"25890";"593";"43,65"
"Beverwijk";"2020";"41626";"2262";"18,40"
"het Bildt";"2020";"";"";""
"De Bilt";"2020";"43137";"652";"66,12"
"Binnenmaas";"2020";"";"";""
"Bladel";"2020";"20390";"271";"75,33"
"Bladel en Netersel";"2020";"";"";""
"Blaricum";"2020";"11540";"1038";"11,11"
"Bleiswijk";"2020";"";"";""
"Bloemendaal";"2020";"23571";"592";"39,79"
"Boarnsterhim";"2020";"";"";""
"Bodegraven";"2020";"";"";""
"Bodegraven-Reeuwijk";"2020";"34872";"463";"75,38"
"Boekel";"2020";"10785";"313";"34,51"
"Ten Boer";"2020";"";"";""
"Bolsward";"2020";"";"";""
"Borculo";"2020";"";"";""
"Borger";"2020";"";"";""
"Borger-Odoorn";"2020";"25559";"93";"274,53"
"Born";"2020";"";"";""
"Borne";"2020";"23312";"897";"26,00"
"Borsele";"2020";"22739";"161";"141,57"
"Boskoop";"2020";"";"";""
