Gemeentecode,population
11001,14262
11002,517042
11004,12844
11005,17737
11007,10540
11008,37673
11009,28534
11013,21578
11016,18615
11018,11148
11021,8141
11022,18336
11023,26745
11024,20873
11025,8821
11029,25551
11030,10136
11035,18856
11037,15140
11038,8259
11039,19434
11040,34063
11044,18515
11050,9365
11052,12591
11053,20228
11054,12768
11055,21764
11056,18957
11057,15158
12002,11203
12005,14704
12007,21039
12009,17292
12014,42110
12021,34905
12025,84523
12026,22651
12029,17227
12030,16999
12034,8332
12035,20609
12040,25745
13001,13142
13002,2663
13003,22168
13004,17829
13006,9420
13008,39225
13010,11204
13011,27728
13012,8806
13013,14491
13014,21183
13016,10255
13017,18331
13019,16404
13021,10162
13023,8642
13025,36034
13029,12242
13031,13307
13035,14735
13036,11096
13037,11823
13040,42965
13044,7777
13046,10935
13049,24705
13053,15851
21001,117412
21002,33161
21003,24224
21004,178552
21005,47180
21006,39556
21007,55613
21008,24269
21009,85541
21010,51426
21011,21638
21012,96586
21013,50659
21014,27402
21015,132590
21016,81944
21017,24619
21018,54311
21019,41207
23002,32402
23003,24745
23009,2151
23016,41450
23023,8670
23024,9212
23025,36742
23027,38289
23032,6617
23033,10915
23038,11689
23039,9370
23044,12919
23045,18274
23047,14764
23050,18742
23052,16083
23060,14208
23062,24959
23064,4424
23077,33512
23081,11924
23086,15286
23088,43017
23094,33034
23096,23068
23097,11494
23098,5372
23099,13713
23100,4752
23101,18171
23102,16059
23103,14095
23104,9033
23105,13079
24001,29529
24007,10058
24008,6117
24009,9803
24011,9953
24014,12102
24016,8132
24020,23538
24028,5970
24033,14296
24038,21213
24041,6891
24043,9935
24045,9743
24048,12831
24054,7930
24055,19714
24059,15944
24062,99288
24066,14206
24086,10973
24094,16439
24104,21572
24107,34185
24109,14733
24130,8364
24133,7188
24134,22833
24135,10674
24137,5305
25005,7104
25014,39785
25015,10287
25018,11698
25023,10395
25031,15302
25037,13088
25043,5347
25044,6784
25048,13883
25050,7368
25068,7364
25072,28027
25084,9173
25091,22128
25105,25424
25107,10498
25110,29794
25112,33806
25117,7518
25118,3387
25119,14133
25120,8756
25121,31562
25122,6293
25123,10939
25124,6997
31003,15502
31004,20013
31005,118053
31006,10907
31012,13862
31022,23132
31033,20486
31040,22479
31042,2711
31043,33311
32003,16551
32006,10037
32010,8750
32011,12415
32030,3277
33011,34959
33016,1054
33021,19755
33029,18529
33037,12417
33039,7827
33040,7940
33041,3673
34002,14589
34003,9956
34009,11738
34013,27536
34022,75506
34023,13140
34025,5746
34027,32877
34040,37606
34041,31291
34042,24353
34043,2133
35002,17360
35005,11851
35006,13945
35011,19262
35013,70600
35014,9279
35029,12622
36006,10016
36007,10792
36008,27550
36010,9530
36011,8688
36012,10949
36015,60999
36019,11173
37002,8374
37007,11018
37010,7700
37011,6723
37012,5363
37015,20159
37017,9525
37018,14209
37020,9053
38002,5039
38008,10811
38014,22074
38016,11379
38025,11674
41002,84329
41011,19688
41018,33136
41024,18117
41027,17550
41034,18399
41048,38051
41063,10152
41081,25899
41082,19720
42003,14758
42004,14469
42006,45367
42008,24702
42010,12515
42011,18843
42023,10736
42025,24818
42026,11501
42028,20785
43002,14083
43005,20561
43007,6321
43010,23452
43014,6666
43018,12490
44001,20218
44011,30667
44012,10367
44013,17867
44019,34692
44020,12680
44021,257029
44029,8217
44034,22117
44036,9488
44040,11189
44043,24279
44045,6328
44048,11570
44049,12071
44052,13545
44064,8517
44072,7886
44073,7588
44080,8468
44081,15589
45017,8137
45035,30990
45041,25925
45057,7527
45059,14787
45060,6445
45061,6326
45062,2000
45063,6550
45064,6281
45065,8040
46003,47573
46013,16541
46014,40626
46020,19204
46021,75208
46024,17888
46025,29194
51004,28951
51008,13982
51009,11943
51012,3619
51014,6946
51017,5922
51019,3443
51065,11709
52010,14810
52011,202182
52012,36463
52015,31217
52018,11338
52021,22802
52022,17808
52025,12527
52043,23053
52048,10095
52055,17093
52063,11027
52074,10805
52075,9367
53014,19748
53020,16733
53028,21828
53039,6872
53044,10529
53046,4384
53053,94964
53065,19086
53068,6715
53070,23085
53082,20605
53083,5189
53084,8122
54007,57391
54010,18101
55004,21426
55010,13489
55022,80430
55023,18610
55035,8472
55039,8353
55040,27257
55050,10922
56001,12012
56005,7052
56011,33445
56016,9850
56022,9920
56029,3908
56044,5707
56049,4279
56051,5339
56078,14494
56085,7679
56086,13579
56087,19097
56088,4848
57003,7817
57018,5611
57027,10255
57062,5598
57064,17132
57072,5174
57081,69471
57093,8068
57094,13699
57095,3710
61003,14182
61010,3263
61012,4545
61019,4847
61024,3883
61028,5178
61031,21292
61039,5421
61041,4163
61043,5840
61048,2803
61063,4122
61068,6510
61072,13626
61079,4116
61080,6018
61081,2656
62003,28159
62006,9240
62009,12257
62011,8994
62015,12096
62022,20766
62026,5360
62027,7280
62032,13037
62038,16507
62051,39617
62060,9223
62063,196970
62079,24772
62093,24078
62096,64172
62099,16662
62100,14417
62108,17748
62118,22145
62119,13212
62120,26058
62121,9975
62122,8215
63001,5492
63003,4229
63004,4370
63012,5484
63013,5605
63020,15124
63023,19338
63035,17533
63038,8566
63040,10917
63045,3584
63046,5976
63048,5656
63049,12415
63057,3954
63058,9703
63061,10552
63067,9637
63072,10415
63073,7174
63075,3113
63076,12092
63079,55177
63080,7461
63084,9809
63086,2502
63087,3964
63088,10279
63089,5698
64008,3024
64015,6238
64021,3254
64023,3032
64025,3254
64029,3361
64034,15998
64047,3281
64056,3853
64063,5906
64065,6582
64074,14906
64075,2844
64076,3911
71002,8164
71004,45242
71011,18906
71016,65691
71017,8377
71020,9566
71022,76685
71024,12608
71034,15358
71037,14603
71045,6865
71047,10297
71053,40158
71057,18403
71066,21276
71067,7239
71069,10618
71070,33011
72003,12917
72004,15785
72018,12309
72020,33957
72021,25133
72025,16969
72029,14951
72030,16312
72037,14356
72038,12294
72039,30592
72040,13082
72041,20287
73001,11456
73006,31829
73009,10579
73022,7205
73028,89
73032,9643
73040,8359
73042,25793
73066,16572
73083,30720
73098,7374
73107,37696
73109,4099
81001,29274
81003,5411
81004,16646
81013,1767
81015,8082
82003,15580
82005,3483
82009,2237
82014,5177
82032,7689
82036,5502
82037,5156
82038,2495
83012,11478
83013,3232
83028,5468
83031,4189
83034,17415
83040,5407
83044,2576
83049,2789
83055,3380
84009,8667
84010,5408
84016,1457
84029,1658
84033,5180
84035,5069
84043,7488
84050,5305
84059,5553
84068,2460
84075,3027
84077,11088
85007,5233
85009,5746
85011,5632
85024,2791
85026,4482
85034,3532
85039,4255
85045,11389
85046,8380
85047,2094
91005,7101
91013,9069
91015,3250
91030,16323
91034,13494
91054,4563
91059,7285
91064,5076
91072,4744
91103,3164
91114,12540
91120,5411
91141,9126
91142,5959
91143,2650
92003,26281
92006,6917
92035,15951
92045,7957
92048,10412
92054,7159
92087,12898
92094,110632
92097,5016
92101,12109
92114,8388
92137,27887
92138,7792
92140,18978
92141,9060
92142,25528
93010,4853
93014,13946
93018,2958
93022,11337
93056,9194
93088,18390
93090,5806
