date,areaName,areaCode,newCasesBySpecimenDate,cumCasesBySpecimenDate,cumDeaths28DaysByPublishDate
2021-05-14,England,E92000001,,,112297
2021-05-13,England,E92000001,757,3884402,112282
2021-05-12,England,E92000001,1630,3883645,112274
2021-05-11,England,E92000001,1793,3882015,112263
2021-05-10,England,E92000001,2361,3880222,112245
2021-05-09,England,E92000001,2019,3877861,112245
2021-05-08,England,E92000001,1259,3875842,112243
2021-05-07,England,E92000001,1617,3874583,112238
2021-05-06,England,E92000001,1943,3872966,112225
2021-05-05,England,E92000001,2172,3871023,112213
2021-05-04,England,E92000001,2240,3868851,112186
2021-05-03,England,E92000001,1886,3866611,112183
2021-05-02,England,E92000001,1312,3864725,112182
2021-05-01,England,E92000001,1180,3863413,112169
2021-04-30,England,E92000001,1465,3862233,112163
2021-04-29,England,E92000001,1887,3860768,112149
2021-04-28,England,E92000001,2180,3858881,112134
2021-04-27,England,E92000001,1824,3856701,112107
2021-04-26,England,E92000001,2329,3854877,112091
2021-04-25,England,E92000001,1930,3852548,112088
2021-04-24,England,E92000001,1264,3850618,112081
2021-04-23,England,E92000001,1671,3849354,112054
2021-04-22,England,E92000001,2012,3847683,112016
2021-04-21,England,E92000001,2280,3845671,112005
2021-04-20,England,E92000001,2046,3843391,111985
2021-04-19,England,E92000001,2377,3841345,111957
2021-04-18,England,E92000001,2318,3838968,111955
2021-04-17,England,E92000001,1361,3836650,111948
2021-04-16,England,E92000001,1892,3835289,111917
2021-04-15,England,E92000001,1929,3833397,111887
2021-04-14,England,E92000001,2036,3831468,111862
2021-04-13,England,E92000001,2020,3829432,111828
2021-04-12,England,E92000001,2407,3827412,111810
2021-04-11,England,E92000001,2014,3825005,111797
2021-04-10,England,E92000001,1938,3822991,111794
2021-04-09,England,E92000001,2384,3821053,111761
2021-04-08,England,E92000001,2549,3818669,111710
2021-04-07,England,E92000001,2633,3816120,111666
2021-04-06,England,E92000001,2590,3813487,111626
2021-04-05,England,E92000001,2200,3810897,111611
2021-04-04,England,E92000001,1930,3808697,111595
2021-04-03,England,E92000001,2012,3806767,111585
2021-04-02,England,E92000001,2129,3804755,111577
2021-04-01,England,E92000001,2866,3802626,111530
2021-03-31,England,E92000001,3135,3799760,111489
2021-03-30,England,E92000001,2952,3796625,111453
2021-03-29,England,E92000001,3202,3793673,111414
2021-03-28,England,E92000001,4089,3790471,111392
2021-03-27,England,E92000001,2940,3786382,111375
2021-03-26,England,E92000001,3617,3783442,111332
2021-03-25,England,E92000001,4443,3779825,111271
2021-03-24,England,E92000001,5108,3775382,111222
2021-03-23,England,E92000001,4337,3770274,111130
2021-03-22,England,E92000001,5138,3765937,111027
2021-03-21,England,E92000001,4517,3760799,111011
2021-03-20,England,E92000001,3365,3756282,110985
2021-03-19,England,E92000001,4134,3752917,110903
2021-03-18,England,E92000001,4523,3748783,110822
2021-03-17,England,E92000001,4851,3744260,110739
2021-03-16,England,E92000001,4741,3739409,110618
2021-03-15,England,E92000001,5439,3734668,110517
2021-03-14,England,E92000001,3581,3729229,110456
2021-03-13,England,E92000001,3449,3725648,110416
2021-03-12,England,E92000001,4611,3722199,110310
2021-03-11,England,E92000001,4685,3717588,110165
2021-03-10,England,E92000001,5003,3712903,110027
2021-03-09,England,E92000001,5212,3707900,109871
2021-03-08,England,E92000001,5565,3702688,109664
2021-03-07,England,E92000001,3529,3697123,109602
2021-03-06,England,E92000001,3697,3693594,109541
2021-03-05,England,E92000001,4553,3689897,109406
2021-03-04,England,E92000001,4789,3685344,109195
2021-03-03,England,E92000001,5094,3680555,108993
2021-03-02,England,E92000001,5679,3675461,108729
2021-03-01,England,E92000001,5891,3669782,108422
2021-02-28,England,E92000001,3952,3663891,108323
2021-02-27,England,E92000001,4104,3659939,108208
2021-02-26,England,E92000001,5664,3655835,107954
2021-02-25,England,E92000001,6613,3650171,107654
2021-02-24,England,E92000001,7290,3643558,107388
2021-02-23,England,E92000001,8142,3636268,107008
2021-02-22,England,E92000001,9853,3628126,106525
2021-02-21,England,E92000001,6797,3618273,106360
2021-02-20,England,E92000001,6887,3611476,106170
2021-02-19,England,E92000001,8881,3604589,105773
2021-02-18,England,E92000001,9903,3595708,105292
2021-02-17,England,E92000001,10024,3585805,104915
2021-02-16,England,E92000001,10814,3575781,104277
2021-02-15,England,E92000001,12464,3564967,103544
2021-02-14,England,E92000001,7533,3552503,103334
2021-02-13,England,E92000001,7739,3544970,103106
2021-02-12,England,E92000001,10563,3537231,102562
